StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-20188,Gayleen Heam,2001-08-17,BS Computer Engineering,Services-Misc. Amusement & Recreation,54
2017-20189,Alejandra Brotherick,1996-04-27,BS Applied Physics,Other Consumer Services,94
2017-20190,Cesya Kytley,1994-04-03,BS Industrial Engineering,n/a,149
2017-20191,Doroteya Wackley,2007-11-11,BA Communication Arts,Business Services,65
2017-20192,Allis Pridden,2004-11-30,BS Industrial Engineering,Farming/Seeds/Milling,80
2017-20193,Gweneth Railton,1996-09-01,BS Statistics,Water Supply,100
2017-20194,Crystie Perago,2010-10-26,BS Mathematics,Diversified Commercial Services,80
2017-20195,Rochette Umfrey,2010-09-02,BS Computer Engineering,Industrial Machinery/Components,155
2017-20196,Haley Orhtmann,1996-01-31,BS Computer Engineering,Apparel,67
2017-20197,Corine Marrion,2000-04-10,BS Applied Physics,Apparel,59
2017-20198,Florri Bradmore,1999-05-16,BS Chemical Engineering,n/a,53
2017-20199,Shalne Chismon,1995-01-29,BS Industrial Engineering,Broadcasting,9
2017-20200,Letty Beatens,2003-11-16,BA Communication Arts,Office Equipment/Supplies/Services,75
2017-20201,Lynnea Bing,2009-03-28,BS Industrial Engineering,Telecommunications Equipment,41
2017-20202,Krystle Tutill,2009-02-24,BS Applied Physics,Electric Utilities: Central,160
2017-20203,Lynda Breydin,1999-11-12,BS Mathematics,"Computer Software: Programming, Data Processing",45
2017-20204,Goddart Drews,2001-11-13,BS Industrial Engineering,Major Pharmaceuticals,59
2017-20205,Corrinne Hellier,1994-09-27,BS Chemistry,Property-Casualty Insurers,68
2017-20206,Lewes Klaggeman,1998-01-26,BS Applied Physics,Real Estate Investment Trusts,108
2017-20207,Maye Brimner,2006-06-17,BS Mathematics,Precious Metals,37
2017-20208,Elisa Sincock,2009-07-09,BS Computer Science,"Computer Software: Programming, Data Processing",66
2017-20209,Janka Gorring,2005-04-03,BA Communication Arts,n/a,7
2017-20210,Natividad Crothers,1997-10-14,BA Communication Arts,Biotechnology: Biological Products (No Diagnostic Substances),41
2017-20211,Justen Hutcheon,1995-02-26,BS Chemical Engineering,n/a,76
2017-20212,Son Boycott,2002-09-21,BS Chemical Engineering,Oil/Gas Transmission,68
2017-20213,Jordon Scholtz,1994-07-13,BS Mathematics,Trucking Freight/Courier Services,106
2017-20214,Kerby Switzer,1994-03-20,BA Sociology,Other Specialty Stores,124
2017-20215,Allegra Fells,2001-08-22,BS Applied Physics,Business Services,111
2017-20216,Samaria Libbie,2000-11-14,BS Industrial Engineering,Major Banks,44
2017-20217,Janeczka Burrage,2009-03-09,BS Statistics,Advertising,3
2017-20218,Cathlene Leversuch,2007-09-11,BS Industrial Engineering,Integrated oil Companies,74
2017-20219,Talbert Blumsom,2005-02-19,BA Communication Arts,Biotechnology: Commercial Physical & Biological Resarch,110
2017-20220,Sharona Mugford,2007-10-06,BS Computer Engineering,Business Services,135
2017-20221,Yetty Willows,1993-01-08,BS Computer Engineering,Finance: Consumer Services,17
2017-20222,Madel Nutley,2008-03-22,BA Sociology,Real Estate Investment Trusts,15
2017-20223,Claudine Kerrane,2005-12-09,BS Chemical Engineering,Telecommunications Equipment,12
2017-20224,Elnora Wyldish,1994-05-19,BS Mathematics,Major Pharmaceuticals,150
2017-20225,Benny Domange,2004-02-10,BS Mathematics,Oilfield Services/Equipment,114
2017-20226,Anson Cruse,1993-07-14,BS Computer Engineering,Real Estate,138
2017-20227,Valdemar Jerromes,1999-05-02,BS Applied Physics,Oil Refining/Marketing,7
2017-20228,Roxanne Santora,2004-01-04,BS Applied Physics,Electrical Products,104
2017-20229,Glenna Clifton,1999-08-12,BS Chemistry,Major Pharmaceuticals,43
2017-20230,Candide Rassmann,2002-07-11,BA Sociology,Clothing/Shoe/Accessory Stores,93
2017-20231,Lorie Bowcher,2003-11-17,BS Industrial Engineering,Food Chains,68
2017-20232,Norine Winnard,1996-07-06,BS Chemical Engineering,Oil & Gas Production,125
2017-20233,Nana Giacubo,1998-09-09,BS Computer Engineering,Investment Bankers/Brokers/Service,52
2017-20234,Willie Scrowton,2000-06-20,BS Statistics,Electrical Products,123
2017-20235,Tarrance Ivons,2006-08-02,BA Communication Arts,Real Estate Investment Trusts,79
2017-20236,Dorolisa Petts,1993-09-28,BS Applied Physics,Electrical Products,137
2017-20237,Pearce Breach,2010-04-10,BS Mathematics,Major Banks,32
2017-20238,Marybelle Gercke,1994-09-02,BS Applied Physics,n/a,137
2017-20239,Lorelei Broadbridge,2000-04-24,BS Computer Engineering,Computer Software: Prepackaged Software,159
2017-20240,Hewie Swoffer,2008-11-26,BS Computer Engineering,Construction/Ag Equipment/Trucks,3
2017-20241,Eleni Gouldie,1999-11-11,BS Applied Physics,Major Chemicals,75
2017-20242,Lucita Southorn,1995-11-03,BS Applied Physics,Shoe Manufacturing,62
2017-20243,Faydra Izacenko,2003-08-20,BS Computer Engineering,Office Equipment/Supplies/Services,26
2017-20244,Felike Kesby,2001-08-26,BA Communication Arts,Steel/Iron Ore,68
2017-20245,Pembroke Jeandeau,2010-04-09,BS Applied Physics,Computer Software: Prepackaged Software,111
2017-20246,Kayley Harpham,2006-03-19,BS Mathematics,Real Estate Investment Trusts,113
2017-20247,Alysa Fausch,2001-10-20,BS Industrial Engineering,Oil & Gas Production,111
2017-20248,Emmaline Ogdahl,1993-02-08,BS Statistics,Accident &Health Insurance,5
2017-20249,North Statefield,1995-11-05,BS Statistics,Electrical Products,101
2017-20250,Darcy Goakes,1995-04-01,BS Chemistry,Biotechnology: Laboratory Analytical Instruments,132
2017-20251,Ignace Knivett,2004-02-22,BS Chemical Engineering,Real Estate,54
2017-20252,Byran Gregoli,2001-04-05,BA Sociology,Major Banks,123
2017-20253,Zacharias Wookey,2000-09-17,BS Computer Science,Precious Metals,145
2017-20254,Gwendolen Keri,1996-09-15,BS Chemical Engineering,Hospital/Nursing Management,100
2017-20255,Viki Berney,2001-04-28,BS Computer Science,Hotels/Resorts,84
2017-20256,Myriam Bonhill,2002-09-08,BS Chemical Engineering,Oil & Gas Production,71
2017-20257,Cathie Bailes,2000-08-13,BA Sociology,Major Banks,101
2017-20258,Belia Aggio,2009-09-21,BS Industrial Engineering,Major Banks,112
2017-20259,Tomasina Dearle,2003-10-06,BS Computer Engineering,Investment Bankers/Brokers/Service,26
2017-20260,Edik Ballantyne,2007-06-28,BS Chemical Engineering,Business Services,93
2017-20261,Linn de Villier,2009-09-15,BA Sociology,Major Pharmaceuticals,82
2017-20262,Rickert Pharro,2006-01-17,BS Statistics,Semiconductors,151
2017-20263,Libbey Lockley,2002-06-09,BA Communication Arts,Industrial Machinery/Components,149
2017-20264,Elianora Beagen,1995-07-14,BS Computer Engineering,Savings Institutions,145
2017-20265,Noellyn Heibl,1995-09-03,BS Chemical Engineering,"Computer Software: Programming, Data Processing",69
2017-20266,Sauveur Mangon,2003-09-03,BS Applied Physics,Advertising,84
2017-20267,Vidovik Robelow,2007-05-02,BS Computer Science,Real Estate Investment Trusts,67
2017-20268,Lynn Bignold,1995-10-19,BS Mathematics,n/a,135
2017-20269,Jerrie Toolin,2005-03-15,BS Statistics,Major Banks,99
2017-20270,Montgomery Luisetti,1996-04-30,BS Industrial Engineering,n/a,60
2017-20271,Reginauld Breitling,2002-03-14,BS Computer Science,Industrial Specialties,157
2017-20272,Laureen Madgewick,2007-01-12,BA Communication Arts,Real Estate Investment Trusts,153
2017-20273,Nonah Borsi,2005-10-18,BS Mathematics,Biotechnology: Biological Products (No Diagnostic Substances),153
2017-20274,Ursulina Blonden,2006-10-16,BA Communication Arts,Oil & Gas Production,48
2017-20275,Marlie Boutflour,1994-03-17,BS Statistics,Industrial Machinery/Components,102
2017-20276,Anders Docwra,1999-02-01,BS Applied Physics,Industrial Machinery/Components,53
2017-20277,Kelila Primmer,2008-04-17,BS Mathematics,n/a,99
2017-20278,Rosanna Diable,1997-04-26,BS Mathematics,Major Banks,94
2017-20279,Ariela Schwerin,2003-10-13,BS Chemistry,n/a,107
2017-20280,Tabbie Ech,1995-07-30,BS Computer Engineering,Major Pharmaceuticals,68
2017-20281,Noll Flarity,2002-03-23,BS Mathematics,Business Services,83
2017-20282,Davita Brownlie,2005-08-22,BS Computer Science,Investment Bankers/Brokers/Service,147
2017-20283,Maggi Rubee,2009-04-30,BS Computer Engineering,Real Estate Investment Trusts,148
2017-20284,Jackie Sandwith,2004-05-30,BS Applied Physics,Business Services,30
2017-20285,Adriano Choppen,1995-01-21,BS Chemical Engineering,EDP Services,24
2017-20286,Peder Cossom,1992-10-30,BS Computer Science,Business Services,108
2017-20287,Papagena MacVicar,1992-01-19,BA Sociology,Property-Casualty Insurers,134
2017-20288,Gigi Lowten,1995-02-02,BS Computer Science,Real Estate Investment Trusts,68
2017-20289,Erl Donnersberg,2001-06-01,BS Chemistry,Paper,101
2017-20290,Kaile Thickins,2004-11-22,BS Applied Physics,Metal Fabrications,112
2017-20291,Boone Hebblethwaite,2001-12-23,BS Chemical Engineering,Aerospace,63
2017-20292,Harwilll Warbeys,2007-08-03,BS Mathematics,Package Goods/Cosmetics,138
2017-20293,Salvador Hannibal,1995-06-16,BA Sociology,n/a,94
2017-20294,Lon Barthod,1995-09-13,BS Chemical Engineering,Automotive Aftermarket,110
2017-20295,Reggy Testo,2004-09-03,BS Computer Science,Real Estate Investment Trusts,13
2017-20296,Luigi Gemelli,1997-01-12,BS Statistics,Real Estate Investment Trusts,160
2017-20297,Silvia Bodycombe,1994-02-09,BA Communication Arts,Transportation Services,93
2017-20298,David Scotford,2009-10-02,BS Industrial Engineering,Farming/Seeds/Milling,154
2017-20299,Timothee Dacke,1996-01-21,BS Mathematics,Finance: Consumer Services,60
2017-20300,Fiona Algeo,1999-05-02,BS Chemical Engineering,Mining & Quarrying of Nonmetallic Minerals (No Fuels),61
2017-20301,Winne Merritt,2002-05-28,BS Statistics,n/a,76
2017-20302,Barnabe Cuttin,1995-09-04,BA Sociology,Fluid Controls,69
2017-20303,Kari Prudence,2003-05-05,BS Computer Engineering,Food Distributors,23
2017-20304,Demeter Hinks,1993-03-22,BA Communication Arts,n/a,110
2017-20305,Tobin Ceaplen,2001-12-22,BA Sociology,EDP Services,91
2017-20306,Charmine Prinett,2006-09-24,BS Mathematics,Major Pharmaceuticals,90
2017-20307,Morris Rotham,2001-05-30,BS Computer Engineering,n/a,132
2017-20308,Katrina Scrancher,2004-01-10,BA Communication Arts,Telecommunications Equipment,70
2017-20309,Corene O'Rourke,1993-01-30,BS Computer Science,Major Pharmaceuticals,42
2017-20310,Tarrance Benettini,2008-06-30,BS Statistics,Major Banks,17
2017-20311,Sabine Peert,1999-03-01,BS Chemical Engineering,Professional Services,154
2017-20312,Malorie Dassindale,2006-04-29,BS Chemical Engineering,Savings Institutions,84
2017-20313,Halsey Washtell,1992-04-21,BS Statistics,Major Banks,135
2017-20314,Domingo Jorcke,2000-06-05,BS Statistics,n/a,132
2017-20315,Linn Mitcheson,1998-11-13,BS Computer Science,Beverages (Production/Distribution),98
2017-20316,Cheryl Kirman,2005-06-07,BS Industrial Engineering,Natural Gas Distribution,121
2017-20317,Samuele Dossetter,1993-11-29,BS Computer Science,Oilfield Services/Equipment,5
2017-20318,Flora Bavage,2010-10-30,BS Industrial Engineering,Real Estate,111
2017-20319,Leonardo Biers,2007-09-13,BS Statistics,Business Services,7
2017-20320,Kordula Skeldinge,2004-12-23,BS Computer Science,Industrial Machinery/Components,119
2017-20321,Natassia Rucklesse,2005-07-30,BS Computer Science,"Computer Software: Programming, Data Processing",113
2017-20322,Saba Duhig,2003-02-11,BS Applied Physics,Medical/Dental Instruments,67
2017-20323,Fax Fisbey,1997-03-09,BS Chemistry,Biotechnology: Electromedical & Electrotherapeutic Apparatus,116
2017-20324,Wendall Cattemull,2010-03-22,BS Industrial Engineering,Air Freight/Delivery Services,30
2017-20325,Dorena Grzeszczyk,1997-10-17,BS Chemical Engineering,Medical Electronics,128
2017-20326,Elset Hakking,1994-11-25,BS Mathematics,n/a,120
2017-20327,Rodger Hoggin,1994-09-08,BS Mathematics,Biotechnology: Commercial Physical & Biological Resarch,62
2017-20328,Kamilah Godfray,1993-04-17,BS Statistics,n/a,71
2017-20329,Ward Gummary,2007-01-28,BS Chemical Engineering,Specialty Insurers,1
2017-20330,Merrel Bottoms,1992-10-16,BS Mathematics,Auto Manufacturing,129
2017-20331,Cami Matson,2009-01-10,BS Mathematics,Industrial Machinery/Components,118
2017-20332,Patrice Kaemena,1999-09-16,BS Mathematics,Department/Specialty Retail Stores,13
2017-20333,Brand Cooksley,2002-11-03,BS Industrial Engineering,n/a,154
2017-20334,Louisette Deeman,2006-12-31,BS Computer Engineering,Major Chemicals,52
2017-20335,Jessamyn Chessun,2000-02-20,BS Mathematics,Major Banks,93
2017-20336,Rolfe Cavnor,2000-11-27,BS Statistics,Specialty Insurers,127
2017-20337,Abbie Malinowski,2010-10-20,BS Computer Science,Semiconductors,126
2017-20338,Arin Jackes,2001-10-23,BA Sociology,Finance: Consumer Services,26
2017-20339,Briant Lorrie,2007-01-26,BS Mathematics,n/a,41
2017-20340,Florentia Saunper,1992-05-10,BA Communication Arts,Natural Gas Distribution,80
2017-20341,Arvie Petteford,1996-05-03,BS Computer Science,Hospital/Nursing Management,67
2017-20342,Eddy Bloomer,1994-10-10,BS Chemistry,Investment Bankers/Brokers/Service,87
2017-20343,Farah Tremblay,2006-07-30,BS Applied Physics,Business Services,57
2017-20344,Lorne Grumbridge,1994-06-04,BS Chemistry,Major Pharmaceuticals,73
2017-20345,Bennie Jacques,2004-11-05,BS Mathematics,Major Banks,130
2017-20346,Idelle Fallow,1999-06-25,BS Computer Engineering,Television Services,22
2017-20347,Drusie Powlesland,2007-01-31,BS Industrial Engineering,Metal Fabrications,138
2017-20348,Darcey Cattermoul,1998-09-23,BA Communication Arts,Oil & Gas Production,81
2017-20349,Genovera Thow,2008-04-26,BS Applied Physics,Major Chemicals,21
2017-20350,Jo ann Parsons,2004-08-12,BA Communication Arts,Major Pharmaceuticals,15
2017-20351,Alejandrina Cristea,1993-01-25,BS Chemistry,Power Generation,130
2017-20352,Gleda Petworth,2009-02-22,BA Communication Arts,n/a,95
2017-20353,Kahlil Bampton,2006-06-08,BS Computer Science,n/a,83
2017-20354,Irving Rappport,1998-03-15,BA Communication Arts,n/a,160
2017-20355,Allard Edger,1994-02-04,BS Computer Engineering,n/a,5
2017-20356,Griffy Haddinton,1998-03-16,BS Chemical Engineering,Consumer Electronics/Appliances,56
2017-20357,Anthe Baly,1993-08-19,BS Applied Physics,Department/Specialty Retail Stores,9
2017-20358,Thedrick Rubroe,2003-08-07,BS Chemical Engineering,Computer Software: Prepackaged Software,110
2017-20359,Gerek Masurel,2000-06-03,BS Chemical Engineering,n/a,86
2017-20360,Temp Jarry,2001-10-09,BS Statistics,Steel/Iron Ore,59
2017-20361,Minor Freire,2005-07-12,BS Computer Engineering,Investment Managers,24
2017-20362,Patricio Vaughan,2005-07-17,BS Computer Science,n/a,38
2017-20363,Delmer Heard,1993-11-07,BS Mathematics,n/a,78
2017-20364,Fransisco Grahlman,2001-07-16,BS Industrial Engineering,Real Estate Investment Trusts,66
2017-20365,Lucias Connor,2009-03-18,BS Statistics,Real Estate Investment Trusts,35
2017-20366,Menard Vella,2009-10-23,BS Industrial Engineering,Major Banks,64
2017-20367,Grete Younger,2008-11-28,BS Industrial Engineering,Business Services,70
2017-20368,Wallas McNamara,1993-02-15,BS Industrial Engineering,Computer Communications Equipment,157
2017-20369,Kaylee Newlyn,2004-04-09,BS Computer Science,Savings Institutions,160
2017-20370,Clair Braybrookes,2005-09-13,BS Statistics,n/a,94
2017-20371,Marys Trenfield,2005-10-30,BS Industrial Engineering,Oil Refining/Marketing,137
2017-20372,Babita Adamthwaite,2007-09-13,BS Statistics,Power Generation,146
2017-20373,Perice Cocozza,1998-11-28,BS Applied Physics,Computer Software: Prepackaged Software,49
2017-20374,Moe Tomes,2006-05-05,BS Applied Physics,Major Pharmaceuticals,133
2017-20375,Kitty Heenan,2003-11-10,BS Chemical Engineering,n/a,80
2017-20376,Jillana Driussi,1998-02-14,BS Applied Physics,Industrial Machinery/Components,39
2017-20377,Angelita Maplethorpe,1995-08-26,BS Industrial Engineering,n/a,3
2017-20378,Lanita Bardell,2001-12-26,BS Statistics,Major Pharmaceuticals,113
2017-20379,Tracey Schlagh,1993-12-27,BS Chemical Engineering,Medical/Nursing Services,152
2017-20380,Giulio Straw,1998-09-02,BA Sociology,Major Pharmaceuticals,67
2017-20381,Monro Grise,1998-12-19,BS Computer Science,Television Services,58
2017-20382,Valina Custance,1993-12-11,BS Chemical Engineering,n/a,25
2017-20383,Jdavie Otterwell,2004-05-11,BS Computer Science,Railroads,92
2017-20384,Doralynn Perin,1997-08-24,BS Chemistry,Major Banks,27
2017-20385,Krishna Ricart,2006-12-03,BS Mathematics,Electric Utilities: Central,21
2017-20386,Melody MacKall,2003-08-20,BS Mathematics,n/a,7
2017-20387,Dukey Minchinton,1994-06-22,BS Statistics,Shoe Manufacturing,39
2017-20388,Guido Hairyes,2006-10-31,BA Sociology,Services-Misc. Amusement & Recreation,136
2017-20389,Georgia Beet,1994-08-01,BS Chemical Engineering,n/a,134
2017-20390,Derril Tripe,1993-10-29,BS Applied Physics,Clothing/Shoe/Accessory Stores,123
2017-20391,Rudyard Boxill,2006-12-22,BS Mathematics,n/a,57
2017-20392,Rafaelia Dutnell,1997-02-09,BS Applied Physics,Miscellaneous manufacturing industries,57
2017-20393,Alana Evill,1996-07-30,BS Mathematics,n/a,65
2017-20394,Sula O'Dougherty,2001-01-14,BS Applied Physics,Major Banks,78
2017-20395,Jewelle Christol,2006-08-27,BS Industrial Engineering,Electric Utilities: Central,22
2017-20396,Herschel MacCartan,1998-07-02,BA Communication Arts,Industrial Machinery/Components,152
2017-20397,Gilligan Jahnke,1998-07-16,BS Mathematics,Oil Refining/Marketing,29
2017-20398,Elysha Fones,1996-04-13,BA Sociology,n/a,149
2017-20399,Cristi Edgell,1995-01-07,BS Chemistry,Telecommunications Equipment,81
2017-20400,Eileen Gamon,2001-05-02,BS Computer Science,Commercial Banks,89
2017-20401,Stacie Landon,1998-05-26,BS Mathematics,Publishing,25
2017-20402,Gene Yakovich,1992-08-31,BS Industrial Engineering,Computer Software: Prepackaged Software,90
2017-20403,Jeri Curteis,2009-04-04,BS Chemical Engineering,Consumer Electronics/Video Chains,15
2017-20404,Demeter Ruddy,1995-07-18,BS Mathematics,Medical Specialities,133
2017-20405,Marinna Jellings,2007-02-12,BS Chemistry,Real Estate Investment Trusts,146
2017-20406,Drake Cuseick,1996-11-09,BA Communication Arts,Homebuilding,13
2017-20407,Phaidra Willmetts,1995-04-24,BS Computer Engineering,Power Generation,93
2017-20408,Kalle Winter,2000-05-26,BS Statistics,Semiconductors,9
2017-20409,Elfreda Beetham,1998-11-13,BS Chemistry,Department/Specialty Retail Stores,72
2017-20410,Weber Lalonde,1998-07-30,BS Mathematics,n/a,51
2017-20411,Jethro Bleier,1995-10-06,BS Mathematics,Finance: Consumer Services,117
2017-20412,Sophey Grinov,1993-10-10,BA Communication Arts,Telecommunications Equipment,93
2017-20413,Tasia Slewcock,1994-07-06,BS Computer Science,Real Estate Investment Trusts,149
2017-20414,Gratia MacTavish,2004-12-26,BS Industrial Engineering,Medical/Dental Instruments,56
2017-20415,Gilbertina Watson-Brown,1997-09-17,BS Computer Science,Savings Institutions,51
2017-20416,Tann Crosskill,2009-01-15,BS Chemical Engineering,Department/Specialty Retail Stores,125
2017-20417,Meagan Bock,1995-09-09,BA Sociology,Services-Misc. Amusement & Recreation,80
